Row;s_level_name;e_full_name;e_INN_code;s_sec_type_name_dop;s_sec_form_name_full;s_RTS_code;s_ISIN_code;si_gos_reg_num;si_gos_reg_date;s_face_value;s_face_value_currency;s_quot_list_in_date;s_segment;s_date_defolt;s_date_technic_defolt
1;Некотировальная часть Списка;HF Sinclair Corporation;;Акции;Акции иностранного эмитента обыкновенные;DINO;US4039491000;;;0,010000000000000000;USD;04.04.2022 0:00:00;;;
2;Некотировальная часть Списка;BellRing Brands, Inc.;;Акции;Акции иностранного эмитента обыкновенные;BRBR;US07831C1036;;;0,010000000000000000;USD;24.03.2022 0:00:00;;;
3;Некотировальная часть Списка;ZimVie Inc.;;Акции;Акции иностранного эмитента обыкновенные;ZIMV;US98888T1079;;;0,010000000000000000;USD;15.03.2022 0:00:00;;;
4;Котировальный список второго уровня;Общество с ограниченной ответственностью "Славянск ЭКО";2370000496;Облигации;Облигации биржевые;SVEC1P1;RU000A103WB0;4B02-01-00039-L-001P;30.09.2021 0:00:00;1000,000000000000000000;RUB;04.03.2022 0:00:00;;;
5;Некотировальная часть Списка;The Republic of Turkey;;Облигации;Облигации иностранного эмитента;TRY0330;US900123CY43;;;1000,000000000000000000;USD;14.02.2022 0:00:00;;;
6;Некотировальная часть Списка;The Republic of Belarus;;Облигации;Облигации иностранного эмитента;BEL0231;XS2120882183;;;1000,000000000000000000;USD;14.02.2022 0:00:00;;;
7;Некотировальная часть Списка;The Republic of Belarus;;Облигации;Облигации иностранного эмитента;BEL0226;XS2120091991;;;1000,000000000000000000;USD;14.02.2022 0:00:00;;;
8;Некотировальная часть Списка;The Republic of Belarus;;Облигации;Облигации иностранного эмитента;BEL0230;XS1760804184;;;1000,000000000000000000;USD;14.02.2022 0:00:00;;;
9;Некотировальная часть Списка;The Republic of Turkey;;Облигации;Облигации иностранного эмитента;TRY0327;US900123CL22;;;1000,000000000000000000;USD;14.02.2022 0:00:00;;;
10;Некотировальная часть Списка;MMC Finance Designated Activity Company;;Облигации;Облигации иностранного эмитента;GMKN0423;XS1589324075;;;1000,000000000000000000;USD;14.02.2022 0:00:00;;;
11;Некотировальная часть Списка;Orion Office REIT Inc.;;Акции;Акции иностранного инвестиционного фонда;ONL;US68629Y1038;;;0,001000000000000000;USD;08.02.2022 0:00:00;;;
12;Некотировальная часть Списка;Публичное акционерное общество Группа компаний "Сегежа";9703024202;Облигации;Облигации биржевые;SEGE2P3R;RU000A104FG2;4B02-03-87154-H-002P;21.01.2022 0:00:00;1000,000000000000000000;RUB;07.02.2022 0:00:00;;;
13;Некотировальная часть Списка;SL Green Realty Corp.;;Акции;Акции иностранного инвестиционного фонда;SLG;US78440X8873;;;0,010000000000000000;USD;03.02.2022 0:00:00;;;
14;Некотировальная часть Списка;JPMorgan Chase Bank, N.A.;;Депозитарные расписки;Депозитарные расписки JPMorgan Chase Bank, N.A., удостоверяющие права в отношении обыкновенных акций  Shell plc;SHEL;US7802593050;;;;;31.01.2022 0:00:00;;;
15;Некотировальная часть Списка;Constellation Energy Corporation;;Акции;Акции иностранного эмитента обыкновенные;CEG;US21037T1097;;;;;31.01.2022 0:00:00;;;
16;Некотировальная часть Списка;nCino, Inc.;;Акции;Акции иностранного эмитента обыкновенные;NCNO;US63947X1019;;;0,000500000000000000;USD;17.01.2022 0:00:00;;;
17;Некотировальная часть Списка;TPG Inc.;;Акции;Акции иностранного эмитента обыкновенные класса A;TPG;US8726571016;;;0,001000000000000000;USD;13.01.2022 0:00:00;;;
18;Некотировальная часть Списка;New Duke Holdco, Inc.;;Акции;Акции иностранного эмитента обыкновенные класса A;DKNGnew;US26142V1052;;;0,000100000000000000;USD;31.12.2021 0:00:00;;;
19;Некотировальная часть Списка;FirstCash Holdings, Inc.;;Акции;Акции иностранного эмитента обыкновенные;FCFS;US33768G1076;;;0,010000000000000000;USD;23.12.2021 0:00:00;;;
20;Некотировальная часть Списка;Penn National Gaming, Inc.;;Акции;Акции иностранного эмитента обыкновенные;PENN;US7075691094;;;0,010000000000000000;USD;15.12.2021 0:00:00;;;
21;Некотировальная часть Списка;Avaya Holdings Corp.;;Акции;Акции иностранного эмитента обыкновенные;AVYA;US05351X1019;;;0,010000000000000000;USD;15.12.2021 0:00:00;;;
22;Некотировальная часть Списка;TC Energy Corporation;;Акции;Акции иностранного эмитента обыкновенные;TRP;CA87807B1076;;;;;15.12.2021 0:00:00;;;
23;Некотировальная часть Списка;Caesars Entertainment, Inc.;;Акции;Акции иностранного эмитента обыкновенные;CZR;US12769G1004;;;0,000010000000000000;USD;15.12.2021 0:00:00;;;
24;Некотировальная часть Списка;Bumble Inc.;;Акции;Акции иностранного эмитента обыкновенные класса A;BMBL;US12047B1052;;;0,010000000000000000;USD;15.12.2021 0:00:00;;;
25;Некотировальная часть Списка;Bakkt Holdings, Inc.;;Акции;Акции иностранного эмитента обыкновенные класса A;BKKT;US05759B1070;;;0,000100000000000000;USD;15.12.2021 0:00:00;;;
26;Некотировальная часть Списка;Coherus BioSciences, Inc.;;Акции;Акции иностранного эмитента обыкновенные;CHRS;US19249H1032;;;0,000100000000000000;USD;15.12.2021 0:00:00;;;
27;Некотировальная часть Списка;Fiverr International Ltd.;;Акции;Акции иностранного эмитента обыкновенные;FVRR;IL0011582033;;;;;15.12.2021 0:00:00;;;
28;Некотировальная часть Списка;Texas Pacific Land Corporation;;Акции;Акции иностранного эмитента обыкновенные;TPL;US88262P1021;;;0,010000000000000000;USD;15.12.2021 0:00:00;;;
29;Некотировальная часть Списка;NiSource Inc.;;Акции;Акции иностранного эмитента обыкновенные;NI;US65473P1057;;;0,010000000000000000;USD;15.12.2021 0:00:00;;;
30;Некотировальная часть Списка;Duolingo, Inc.;;Акции;Акции иностранного эмитента обыкновенные класса A;DUOL;US26603R1068;;;0,000100000000000000;USD;15.12.2021 0:00:00;;;
31;Некотировальная часть Списка;Celsius Holdings, Inc.;;Акции;Акции иностранного эмитента обыкновенные;CELH;US15118V2079;;;0,001000000000000000;USD;15.12.2021 0:00:00;;;
32;Некотировальная часть Списка;Alcon Inc.;;Акции;Акции иностранного эмитента обыкновенные;ALC;CH0432492467;;;0,040000000000000000;CHF;15.12.2021 0:00:00;;;
33;Некотировальная часть Списка;Antero Midstream Corporation;;Акции;Акции иностранного эмитента обыкновенные;AM;US03676B1026;;;0,010000000000000000;USD;15.12.2021 0:00:00;;;
34;Некотировальная часть Списка;Arch Resources, Inc.;;Акции;Акции иностранного эмитента обыкновенные;ARCH;US03940R1077;;;0,010000000000000000;USD;15.12.2021 0:00:00;;;
35;Некотировальная часть Списка;First American Financial Corporation;;Акции;Акции иностранного эмитента обыкновенные;FAF;US31847R1023;;;0,000010000000000000;USD;15.12.2021 0:00:00;;;
36;Некотировальная часть Списка;Walker & Dunlop, Inc.;;Акции;Акции иностранного эмитента обыкновенные;WD;US93148P1021;;;0,010000000000000000;USD;15.12.2021 0:00:00;;;
37;Некотировальная часть Списка;Atmos Energy Corporation;;Акции;Акции иностранного эмитента обыкновенные;ATO;US0495601058;;;;;15.12.2021 0:00:00;;;
38;Некотировальная часть Списка;White Mountains Insurance Group, Ltd.;;Акции;Акции иностранного эмитента обыкновенные;WTM;BMG9618E1075;;;1,000000000000000000;USD;15.12.2021 0:00:00;;;
39;Некотировальная часть Списка;Cerevel Therapeutics Holdings, Inc.;;Акции;Акции иностранного эмитента обыкновенные;CERE;US15678U1280;;;0,000100000000000000;USD;15.12.2021 0:00:00;;;
40;Некотировальная часть Списка;Manulife Financial Corporation;;Акции;Акции иностранного эмитента обыкновенные;MFC;CA56501R1064;;;;;15.12.2021 0:00:00;;;
